n,Rki,Rka,RT,Tp,Pr,err_Rki,err_Rka,err_RT,err_Tp,err_Pr
2.0,27.0,1227.0,198.3984,627.0,436.0,303.6667,896.3333,132.2682,296.3333,105.3333
3.0,72.5987,872.5987,263.0998,472.5987,318.1905,258.068,541.932,67.5668,141.932,12.4761
4.0,112.6992,712.6992,290.7555,412.6992,341.2656,217.9674,382.0326,39.9112,82.0326,10.599
5.0,143.8391,623.8391,304.5388,383.8391,272.4485,186.8276,293.1724,26.1279,53.1724,58.2182
6.0,167.8493,567.8493,312.2979,367.8493,332.9328,162.8174,237.1826,18.3688,37.1826,2.2661
7.0,186.6709,529.528,317.0709,358.0995,270.0041,143.9958,198.8614,13.5958,27.4328,60.6625
8.0,201.7273,501.7273,320.2072,351.7273,331.4034,128.9393,171.0607,10.4595,21.0607,0.7367
9.0,214.0051,480.6718,322.3751,347.3384,274.6583,116.6616,150.0051,8.2916,16.6718,56.0084
10.0,224.1889,464.1889,323.9347,344.1889,330.9722,106.4777,133.5223,6.732,13.5223,0.3055
11.0,232.7623,450.9441,325.0933,341.8532,280.103,97.9044,120.2774,5.5734,11.1865,50.5636
12.0,240.0736,440.0736,325.9773,340.0736,330.815,90.5931,109.4069,4.6894,9.4069,0.1483
13.0,246.379,430.9944,326.6669,338.6867,285.0604,84.2876,100.3278,3.9998,8.0201,45.6062
14.0,251.8709,423.2994,327.215,337.5852,330.7471,78.7958,92.6328,3.4516,6.9185,0.0804
15.0,256.6957,416.6957,327.6579,336.6957,289.3304,73.9709,86.0291,3.0088,6.0291,41.3363
16.0,260.9673,410.9673,328.0208,335.9673,330.7139,69.6994,80.3006,2.6458,5.3006,0.0473
17.0,264.775,405.9514,328.3219,335.3632,292.9638,65.8917,75.2848,2.3448,4.6965,37.7028
18.0,268.1901,401.5234,328.5744,334.8568,330.6962,62.4766,70.8568,2.0923,4.1901,0.0296
19.0,271.2701,397.5859,328.7882,334.428,296.0602,59.3966,66.9192,1.8784,3.7613,34.6064
20.0,274.0618,394.0618,328.9709,334.0618,330.6861,56.6049,63.3951,1.6957,3.3951,0.0194
